日期,SN,测试结果,正转电流测试1,正转电流值1,正转电流阀值1,反转电流测试2,反转电流值2,反转电流阀值2,堵转电流测试3,堵转电流值3,堵转电流阀值3
2025-05-27 18:13:57,AGEC10Z25021500001,NG,PASS,121mA,60mA-145mA,PASS,-121mA,-145mA--60mA,NG,184mA,1500mA-5000mA
2025-05-27 18:16:01,AGEC10Z25021500001,NG,PASS,122mA,60mA-145mA,PASS,-122mA,-145mA--60mA,NG,224mA,1500mA-5000mA
2025-05-27 18:16:27,AGEC10Z25021500001,NG,NG,151mA,60mA-145mA,NG,-151mA,-145mA--60mA,未测试,未测试,1500mA-5000mA
2025-05-27 18:16:43,AGEC10Z25021500001,NG,NG,147mA,60mA-145mA,NG,-148mA,-145mA--60mA,未测试,未测试,1500mA-5000mA
2025-05-27 18:17:00,AGEC10Z25021500001,NG,NG,148mA,60mA-145mA,NG,-148mA,-145mA--60mA,未测试,未测试,1500mA-5000mA
2025-05-27 18:19:36,AGEC10Z25021500001,NG,PASS,104mA,60mA-145mA,PASS,-104mA,-145mA--60mA,NG,1199mA,1500mA-5000mA
2025-05-27 18:20:11,AGEC10Z25021500001,OK,PASS,97mA,60mA-145mA,PASS,-98mA,-145mA--60mA,PASS,3129mA,1500mA-5000mA
2025-05-27 18:22:17,AGEC10Z25021500001,NG,PASS,126mA,60mA-145mA,PASS,-126mA,-145mA--60mA,NG,837mA,1500mA-5000mA
