日期,SN,测试结果,地检白板-黑板-测试LED1测试1,地检白板-黑板-测试LED1值1,地检白板-黑板-测试LED1阀值1
2025-09-17 17:04:04,H481500000137XX-D01-250121-00003,mes NG,NG,"白板：3916,黑板：3918","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 17:12:20,H481500000137XX-D01-250121-00005,NG,NG,"白板：3856,黑板：3964","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 17:12:20,H481500000137XX-D01-250121-00006,NG,NG,"白板：2066,黑板：3971","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 17:13:47,H481500000137XX-D01-250121-00005,OK,PASS,"白板：427,黑板：3956","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 17:13:47,H481500000137XX-D01-250121-00006,NG,NG,"白板：1046,黑板：3957","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 17:16:09,H481500000137XX-D01-250121-00005,OK,PASS,"白板：1415,黑板：3919","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 17:16:09,H481500000137XX-D01-250121-00006,OK,PASS,"白板：1303,黑板：3912","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 17:16:32,H481500000137XX-D01-250121-00005,OK,PASS,"白板：545,黑板：3908","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 17:16:32,H481500000137XX-D01-250121-00006,OK,PASS,"白板：1260,黑板：3886","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:25:25,H481500000137XX-D01-250121-00005,OK,PASS,"白板：416,黑板：3925","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:25:25,H481500000137XX-D01-250121-00006,OK,PASS,"白板：327,黑板：2704","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:31:33,H481500000137XX-D01-250121-00005,NG,NG,"白板：2066,黑板：3451","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:31:33,H481500000137XX-D01-250121-00006,NG,NG,"白板：3984,黑板：987","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:31:35,H481500000137XX-D01-250121-00005,mes NG,NG,"白板：2066,黑板：3451","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:36:39,H481500000137XX-D01-250121-00005,NG,NG,"白板：3890,黑板：3900","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:36:39,H481500000137XX-D01-250121-00006,NG,NG,"白板：3868,黑板：236","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 18:39:06,H481500000137XX-D01-250121-00005,mes NG,NG,"白板：1545,黑板：3745","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 19:54:50,H481500000137XX-D01-250121-00007,NG,NG,"白板：1,黑板：3990","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 19:54:50,H481500000137XX-D01-250121-00008,OK,PASS,"白板：592,黑板：3725","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 19:59:28,H481500000137XX-D01-250121-00007,OK,PASS,"白板：1018,黑板：3977","白板：300,黑板：200-白板：1500,黑板：4095"
2025-09-17 19:59:28,H481500000137XX-D01-250121-00008,NG,NG,"白板：1438,黑板：932","白板：300,黑板：200-白板：1500,黑板：4095"
